"player","id","session_start","duration_minutes","last_state","level","name"
player15,5346,"2025-08-12 14:02:30",32,retro,5,Bezs Beatles Day! V2
player8,5349,"2025-08-12 16:09:32",20,retro,6,The Big Investor
player5,5362,"2025-08-13 12:04:21",24,retro,5,Bezs Beatles Day! V2
player4,5376,"2025-08-14 09:09:43",18,retro,6,The Big Investor
player2,5386,"2025-08-14 14:12:35",22,retro,7,Rumours
player7,5403,"2025-08-15 15:30:06",22,retro,8,The Chain
player8,5439,"2025-08-19 16:02:47",24,retro,7,Rumours
player5,5459,"2025-08-20 14:10:48",21,retro,6,The Big Investor
player4,5478,"2025-08-21 09:10:32",14,retro,7,Rumours
player6,5489,"2025-08-21 11:46:44",21,retro,28,Memory Lane
player2,5493,"2025-08-21 14:22:26",24,retro,14,Missing Delivery V2
player15,5519,"2025-08-26 14:02:53",21,retro,6,The Big Investor
player4,5538,"2025-08-28 09:06:59",18,retro,14,Missing Delivery V2
player2,5549,"2025-08-28 14:02:28",23,retro,16,Radio Silence
player5,5552,"2025-08-28 14:33:37",15,retro,7,Rumours
player13,5568,"2025-08-29 12:11:52",11,retro,29,Too Good To Be True
player8,5604,"2025-09-02 16:08:47",22,retro,14,Missing Delivery V2
player15,5620,"2025-09-03 14:03:39",21,retro,7,Rumours
player5,5621,"2025-09-03 14:04:26",23,retro,14,Missing Delivery V2
player12,5625,"2025-09-03 15:20:34",26,retro,29,Too Good To Be True
player13,5668,"2025-09-05 16:08:59",19,retro,31,Bezs Beatles Day!
player8,5695,"2025-09-09 16:03:57",21,retro,16,Radio Silence
player5,5706,"2025-09-10 14:03:03",23,retro,16,Radio Silence
player12,5707,"2025-09-10 15:09:03",18,retro,31,Bezs Beatles Day!
player4,5715,"2025-09-11 09:04:48",21,retro,16,Radio Silence
player6,5722,"2025-09-11 11:48:59",18,retro,14,Missing Delivery V2
player13,5760,"2025-09-12 13:09:38",9,retro,27,First day blues
player13,5761,"2025-09-12 13:23:53",16,retro,6,The Big Investor
player7,5763,"2025-09-12 15:23:59",25,retro,18,The Switch
player15,5777,"2025-09-15 16:32:28",21,retro,14,Missing Delivery V2
player9,5897,"2025-09-23 13:09:16",22,retro,8,The Chain
player15,5900,"2025-09-23 14:02:45",20,retro,16,Radio Silence
player13,5970,"2025-09-26 14:02:39",31,retro,28,Memory Lane
player4,5992,"2025-09-29 15:06:18",31,retro,30,DEFCON 1
player15,6007,"2025-09-30 14:22:25",39,retro,30,DEFCON 1
player12,6036,"2025-10-01 15:03:57",16,retro,7,Rumours
player8,6041,"2025-10-01 16:05:30",18,retro,4,Roblox
player5,6081,"2025-10-03 10:11:21",32,retro,30,DEFCON 1
player1,6110,"2025-10-06 13:37:29",35,retro,30,DEFCON 1
player9,6173,"2025-10-07 13:04:45",32,retro,30,DEFCON 1
player12,6234,"2025-10-08 15:03:40",21,retro,32,The Big Investor V2
player6,6254,"2025-10-09 11:51:20",30,retro,30,DEFCON 1
player12,6315,"2025-10-15 15:04:35",24,retro,14,Missing Delivery V2
player8,6318,"2025-10-15 16:07:12",31,retro,30,DEFCON 1
player13,6341,"2025-10-17 08:12:44",35,retro,30,DEFCON 1
player2,6357,"2025-10-17 14:03:21",32,retro,30,DEFCON 1
player4,6501,"2025-10-29 16:02:29",16,retro,4,Roblox
player15,6507,"2025-10-30 07:32:41",21,retro,4,Roblox
player7,6520,"2025-10-31 16:23:03",34,retro,30,DEFCON 1
player11,6556,"2025-11-04 06:48:02",15,aborted,16,Radio Silence
player9,6591,"2025-11-04 14:05:39",25,retro,18,The Switch
player11,6603,"2025-11-05 06:32:26",20,retro,16,Radio Silence
player12,6618,"2025-11-05 16:06:02",21,retro,16,Radio Silence
player4,6715,"2025-11-10 11:04:10",22,retro,18,The Switch
player15,6730,"2025-11-11 12:06:59",27,retro,18,The Switch
player10,6748,"2025-11-12 13:16:41",25,retro,29,Too Good To Be True
player1,6781,"2025-11-14 14:10:06",27,retro,8,The Chain
player1,6783,"2025-11-14 14:57:34",9,aborted,29,Too Good To Be True
player6,6846,"2025-11-20 12:54:46",18,retro,16,Radio Silence
player1,6870,"2025-11-24 14:09:19",25,retro,18,The Switch
player12,6917,"2025-11-26 16:02:51",20,retro,4,Roblox
player7,6965,"2025-11-28 16:19:22",24,retro,17,Version confusion
player10,7160,"2025-12-16 13:09:23",22,retro,5,Bezs Beatles Day! V2
player16,7276,"2026-01-06 16:59:51",42,retro,30,DEFCON 1
player1,7326,"2026-01-08 14:07:06",30,retro,28,Memory Lane
player10,7391,"2026-01-13 13:11:45",23,retro,32,The Big Investor V2
player9,7392,"2026-01-13 14:04:02",15,retro,17,Version confusion
player8,7416,"2026-01-14 17:12:03",24,retro,8,The Chain
player6,7428,"2026-01-15 12:48:45",21,retro,18,The Switch
player15,7464,"2026-01-20 12:10:37",27,retro,8,The Chain
